Unnamed: 0.1,dj,location,timestamp,song,timestamp_end,video_name,audio_path,bpm,energy,danceability,key,scale,loudness,pct_Positive,pct_Neutral,pct_Negative,face_count,reward,avg_motion_energy,peak_motion_energy
66,Fred Again..,London,1091,Overmono vs. Lil Baby - BBY vs. Real As It Gets (Fred again.. Bootleg),1309.0,Fred again.. ｜ Boiler Room： London,/Users/fokia/CentraleSupelec-CV-and-RL-project/audio/Fred again.. ｜ Boiler Room： London.mp3,135.07070922851562,897671.0,1.1194241046905518,C,major,9740.6650390625,0.5374149659863946,0.3027210884353741,0.1598639455782313,294.0,0.46335746176780557,4.305992704591655,56.81026077270508
67,MInanokimochi,Tokyo,1091,HDMIRROR - ANTHEM,1140.0,"Minna-no-kimochi (みんなのきもち)  Boiler Room Tokyo Tohji Presents u-ha - Boiler Room (720p, h264)","/Users/fokia/CentraleSupelec-CV-and-RL-project/audio/Minna-no-kimochi (みんなのきもち)  Boiler Room Tokyo Tohji Presents u-ha - Boiler Room (720p, h264).mp3",80.43456268310547,131778.3125,0.831602156162262,F,major,2693.366943359375,0.5422222222222223,0.3644444444444444,0.0933333333333333,675.0,0.578209892959762,6.199446013787898,67.13702392578125
68,KETTAMA,London,1102,ID - ID,1170.0,"KETTAMA  Boiler Room London - Boiler Room (720p, h264)","/Users/fokia/CentraleSupelec-CV-and-RL-project/audio/KETTAMA  Boiler Room London - Boiler Room (720p, h264).mp3",142.1531219482422,80152.03125,1.081579327583313,E,minor,1930.2911376953125,0.5073825503355704,0.338255033557047,0.1543624161073825,745.0,0.3530201342281879,0.5722888542060628,17.844362258911133
69,AZYR,Teletech,1119,APHØTIC - Real lies,1287.0,"AZYR  Boiler Room x Teletech Festival 2023 - Boiler Room (720p, h264)","/Users/fokia/CentraleSupelec-CV-and-RL-project/audio/AZYR  Boiler Room x Teletech Festival 2023 - Boiler Room (720p, h264).mp3",156.3391876220703,120238.609375,0.9936018586158752,C#,minor,2532.967041015625,0.4912689173457509,0.3725261932479627,0.1362048894062864,859.0,0.44632751066655685,4.543445465043098,47.33409881591797
70,Chase & Status,London,1120,Chase & Status ft. Cutty Ranks - Retreat2018,1225.0,"Chase & Status  Boiler Room London - Boiler Room (720p, h264)","/Users/fokia/CentraleSupelec-CV-and-RL-project/audio/Chase & Status  Boiler Room London - Boiler Room (720p, h264).mp3",87.36531066894531,682855.0,1.12388813495636,C,minor,8109.6142578125,0.4972875226039783,0.3634719710669077,0.1392405063291139,553.0,0.539513246878809,8.468446219375378,50.04423904418945
71,MInanokimochi,Tokyo,1140,adaa - feeling a moment,1200.0,"Minna-no-kimochi (みんなのきもち)  Boiler Room Tokyo Tohji Presents u-ha - Boiler Room (720p, h264)","/Users/fokia/CentraleSupelec-CV-and-RL-project/audio/Minna-no-kimochi (みんなのきもち)  Boiler Room Tokyo Tohji Presents u-ha - Boiler Room (720p, h264).mp3",105.6108856201172,101886.0234375,0.9684129357337952,F,major,2266.923583984375,0.4031936127744511,0.4331337325349301,0.1636726546906187,501.0,0.3411597919581227,4.994909107091023,19.213258743286133
72,Peggy Gou,Amsterdam,1162,Haruomi Hosono - Laugh-Gas [Epic 1989],1394.0,"Peggy Gou  Boiler Room x Dekmantel Festival Amsterdam - Boiler Room (720p, h264, youtube)","/Users/fokia/CentraleSupelec-CV-and-RL-project/audio/Peggy Gou  Boiler Room x Dekmantel Festival Amsterdam - Boiler Room (720p, h264, youtube).mp3",124.96598052978516,128628.4765625,1.6003011465072632,C,minor,2650.0615234375,0.4692832764505119,0.3822525597269625,0.1484641638225255,586.0,0.4072162579641061,4.331696062946402,42.61586380004883
73,KETTAMA,London,1170,De Moma - Raredub (unreleased),1358.0,"KETTAMA  Boiler Room London - Boiler Room (720p, h264)","/Users/fokia/CentraleSupelec-CV-and-RL-project/audio/KETTAMA  Boiler Room London - Boiler Room (720p, h264).mp3",142.08543395996094,161830.375,1.114211916923523,D,major,3090.7958984375,0.5054086538461539,0.3613992914979757,0.1331920546558704,31616.0,0.38244525001328183,1.0173691110833925,34.52472686767578
74,Marlon Hoffstadt,Melbourne,1177,Patrick Mason - Shred My Panties (Marlon Hoffstadt Edit),1409.0,"Marlon Hoffstadt  Boiler Room Melbourne - Boiler Room (720p, h264)","/Users/fokia/CentraleSupelec-CV-and-RL-project/audio/Marlon Hoffstadt  Boiler Room Melbourne - Boiler Room (720p, h264).mp3",149.0170135498047,309654.5625,0.9713743329048156,G,minor,4774.0615234375,0.5114285714285715,0.2857142857142857,0.2028571428571428,350.0,0.4160350273254956,5.248362655736166,45.41834259033203
75,MInanokimochi,Tokyo,1200,Sun Angels - A Drink Before The War,1321.0,"Minna-no-kimochi (みんなのきもち)  Boiler Room Tokyo Tohji Presents u-ha - Boiler Room (720p, h264)","/Users/fokia/CentraleSupelec-CV-and-RL-project/audio/Minna-no-kimochi (みんなのきもち)  Boiler Room Tokyo Tohji Presents u-ha - Boiler Room (720p, h264).mp3",178.20584106445312,205683.109375,1.0047049522399902,Bb,major,3629.4697265625,0.4430379746835443,0.240506329113924,0.3164556962025316,79.0,0.21613294442508155,4.468915505328588,34.92523193359375
76,Estella Boersma,Berlin,1200,6 SENSE – Funk Contender,1695.0,"Estella Boersma  Boiler Room Festival Berlin - Boiler Room (720p, h264, youtube)","/Users/fokia/CentraleSupelec-CV-and-RL-project/audio/Estella Boersma  Boiler Room Festival Berlin - Boiler Room (720p, h264, youtube).mp3",142.63319396972656,321189.875,1.0704591274261477,G,major,4892.49658203125,0.4444444444444444,0.4444444444444444,0.1111111111111111,9.0,0.38862448987325865,2.9781782116277538,34.639686584472656
