video_name,timestamp,density_score
"Yaeji  Boiler Room New York - Boiler Room (720p, h264)",52.5,18.3356640625
"Yaeji  Boiler Room New York - Boiler Room (720p, h264)",53.0,17.947486979166666
"Yaeji  Boiler Room New York - Boiler Room (720p, h264)",53.5,14.965807291666666
"Yaeji  Boiler Room New York - Boiler Room (720p, h264)",54.0,15.575151909722223
"Yaeji  Boiler Room New York - Boiler Room (720p, h264)",60.5,20.10875
"Yaeji  Boiler Room New York - Boiler Room (720p, h264)",61.0,21.154778645833332
"Yaeji  Boiler Room New York - Boiler Room (720p, h264)",61.5,19.764973958333332
"Yaeji  Boiler Room New York - Boiler Room (720p, h264)",62.0,21.825078125
"Yaeji  Boiler Room New York - Boiler Room (720p, h264)",62.5,21.64003472222222
"Yaeji  Boiler Room New York - Boiler Room (720p, h264)",63.0,19.51782986111111
"Yaeji  Boiler Room New York - Boiler Room (720p, h264)",70.5,19.24228298611111
"Yaeji  Boiler Room New York - Boiler Room (720p, h264)",71.0,16.485842013888888
"Yaeji  Boiler Room New York - Boiler Room (720p, h264)",71.5,19.10046440972222
"Yaeji  Boiler Room New York - Boiler Room (720p, h264)",72.0,17.313858506944445
"Yaeji  Boiler Room New York - Boiler Room (720p, h264)",72.5,17.166297743055555
"Yaeji  Boiler Room New York - Boiler Room (720p, h264)",73.0,16.424752604166667
"Yaeji  Boiler Room New York - Boiler Room (720p, h264)",73.5,18.287078993055555
"Yaeji  Boiler Room New York - Boiler Room (720p, h264)",74.0,17.59740017361111
"Yaeji  Boiler Room New York - Boiler Room (720p, h264)",74.5,19.93419704861111
"Yaeji  Boiler Room New York - Boiler Room (720p, h264)",75.0,18.427782118055557
"Yaeji  Boiler Room New York - Boiler Room (720p, h264)",75.5,18.88941840277778
"Yaeji  Boiler Room New York - Boiler Room (720p, h264)",76.0,17.012808159722223
"Yaeji  Boiler Room New York - Boiler Room (720p, h264)",76.5,18.71607638888889
"Yaeji  Boiler Room New York - Boiler Room (720p, h264)",77.0,16.174305555555556
"Yaeji  Boiler Room New York - Boiler Room (720p, h264)",77.5,16.97679253472222
"Yaeji  Boiler Room New York - Boiler Room (720p, h264)",78.0,17.439457465277776
"Yaeji  Boiler Room New York - Boiler Room (720p, h264)",78.5,16.614348958333334
"Yaeji  Boiler Room New York - Boiler Room (720p, h264)",79.0,19.018428819444445
"Yaeji  Boiler Room New York - Boiler Room (720p, h264)",79.5,15.466675347222223
"Yaeji  Boiler Room New York - Boiler Room (720p, h264)",80.0,14.661731770833333
"Yaeji  Boiler Room New York - Boiler Room (720p, h264)",80.5,17.119713541666666
"Yaeji  Boiler Room New York - Boiler Room (720p, h264)",82.0,20.455221354166667
"Yaeji  Boiler Room New York - Boiler Room (720p, h264)",82.5,18.703650173611113
"Yaeji  Boiler Room New York - Boiler Room (720p, h264)",83.0,17.05875
"Yaeji  Boiler Room New York - Boiler Room (720p, h264)",83.5,17.05825954861111
"Yaeji  Boiler Room New York - Boiler Room (720p, h264)",84.0,18.975008680555554
"Yaeji  Boiler Room New York - Boiler Room (720p, h264)",84.5,18.057135416666668
"Yaeji  Boiler Room New York - Boiler Room (720p, h264)",85.0,16.5054296875
"Yaeji  Boiler Room New York - Boiler Room (720p, h264)",85.5,18.010277777777777
"Yaeji  Boiler Room New York - Boiler Room (720p, h264)",86.0,16.873194444444444
"Yaeji  Boiler Room New York - Boiler Room (720p, h264)",86.5,19.522387152777778
"Yaeji  Boiler Room New York - Boiler Room (720p, h264)",87.0,16.391514756944446
"Yaeji  Boiler Room New York - Boiler Room (720p, h264)",87.5,14.689283854166666
"Yaeji  Boiler Room New York - Boiler Room (720p, h264)",88.0,16.926584201388888
"Yaeji  Boiler Room New York - Boiler Room (720p, h264)",88.5,16.711749131944444
"Yaeji  Boiler Room New York - Boiler Room (720p, h264)",89.0,19.078732638888887
"Yaeji  Boiler Room New York - Boiler Room (720p, h264)",89.5,22.290052083333332
"Yaeji  Boiler Room New York - Boiler Room (720p, h264)",93.5,15.593237847222222
"Yaeji  Boiler Room New York - Boiler Room (720p, h264)",94.0,18.616927083333334
"Yaeji  Boiler Room New York - Boiler Room (720p, h264)",94.5,16.962873263888888
"Yaeji  Boiler Room New York - Boiler Room (720p, h264)",95.0,14.843220486111111
"Yaeji  Boiler Room New York - Boiler Room (720p, h264)",95.5,16.174813368055556
"Yaeji  Boiler Room New York - Boiler Room (720p, h264)",96.0,16.230008680555557
"Yaeji  Boiler Room New York - Boiler Room (720p, h264)",96.5,18.395247395833334
"Yaeji  Boiler Room New York - Boiler Room (720p, h264)",97.0,19.765703125
"Yaeji  Boiler Room New York - Boiler Room (720p, h264)",97.5,17.497508680555555
"Yaeji  Boiler Room New York - Boiler Room (720p, h264)",98.0,19.072374131944443
"Yaeji  Boiler Room New York - Boiler Room (720p, h264)",98.5,16.012808159722223
"Yaeji  Boiler Room New York - Boiler Room (720p, h264)",99.0,20.33164496527778
"Yaeji  Boiler Room New York - Boiler Room (720p, h264)",99.5,17.511710069444444
"Yaeji  Boiler Room New York - Boiler Room (720p, h264)",100.0,18.490503472222223
"Yaeji  Boiler Room New York - Boiler Room (720p, h264)",100.5,19.302630208333333
"Yaeji  Boiler Room New York - Boiler Room (720p, h264)",101.0,17.239618055555557
"Yaeji  Boiler Room New York - Boiler Room (720p, h264)",101.5,14.662986111111111
"Yaeji  Boiler Room New York - Boiler Room (720p, h264)",102.0,15.413706597222221
"Yaeji  Boiler Room New York - Boiler Room (720p, h264)",102.5,17.204084201388888
"Yaeji  Boiler Room New York - Boiler Room (720p, h264)",103.0,17.790711805555556
"Yaeji  Boiler Room New York - Boiler Room (720p, h264)",103.5,16.3585546875
"Yaeji  Boiler Room New York - Boiler Room (720p, h264)",104.0,21.149926215277777
"Yaeji  Boiler Room New York - Boiler Room (720p, h264)",104.5,19.431788194444444
"Yaeji  Boiler Room New York - Boiler Room (720p, h264)",105.0,15.97078125
"Yaeji  Boiler Room New York - Boiler Room (720p, h264)",105.5,19.090516493055556
"Yaeji  Boiler Room New York - Boiler Room (720p, h264)",106.0,15.850872395833333
"Yaeji  Boiler Room New York - Boiler Room (720p, h264)",106.5,18.471384548611113
"Yaeji  Boiler Room New York - Boiler Room (720p, h264)",107.0,16.698819444444446
"Yaeji  Boiler Room New York - Boiler Room (720p, h264)",107.5,16.889661458333332
"Yaeji  Boiler Room New York - Boiler Room (720p, h264)",108.0,19.99282986111111
"Yaeji  Boiler Room New York - Boiler Room (720p, h264)",111.5,13.742786458333333
"Yaeji  Boiler Room New York - Boiler Room (720p, h264)",117.0,16.9934765625
"Yaeji  Boiler Room New York - Boiler Room (720p, h264)",117.5,17.323723958333332
"Yaeji  Boiler Room New York - Boiler Room (720p, h264)",118.0,22.047135416666666
"Yaeji  Boiler Room New York - Boiler Room (720p, h264)",118.5,19.688159722222224
"Yaeji  Boiler Room New York - Boiler Room (720p, h264)",119.0,20.181979166666668
"Yaeji  Boiler Room New York - Boiler Room (720p, h264)",119.5,19.2215625
"Yaeji  Boiler Room New York - Boiler Room (720p, h264)",122.5,17.93136284722222
"Yaeji  Boiler Room New York - Boiler Room (720p, h264)",123.0,17.809309895833334
"Yaeji  Boiler Room New York - Boiler Room (720p, h264)",123.5,15.326983506944444
"Yaeji  Boiler Room New York - Boiler Room (720p, h264)",124.0,16.892000868055554
"Yaeji  Boiler Room New York - Boiler Room (720p, h264)",124.5,16.537921006944444
"Yaeji  Boiler Room New York - Boiler Room (720p, h264)",125.0,17.10609809027778
"Yaeji  Boiler Room New York - Boiler Room (720p, h264)",125.5,23.448723958333332
"Yaeji  Boiler Room New York - Boiler Room (720p, h264)",126.0,17.341258680555555
"Yaeji  Boiler Room New York - Boiler Room (720p, h264)",126.5,15.462647569444444
"Yaeji  Boiler Room New York - Boiler Room (720p, h264)",127.0,18.401436631944446
"Yaeji  Boiler Room New York - Boiler Room (720p, h264)",127.5,15.940499131944444
"Yaeji  Boiler Room New York - Boiler Room (720p, h264)",128.0,19.285776909722223
"Yaeji  Boiler Room New York - Boiler Room (720p, h264)",128.5,17.918567708333335
"Yaeji  Boiler Room New York - Boiler Room (720p, h264)",129.0,18.30861545138889
"Yaeji  Boiler Room New York - Boiler Room (720p, h264)",129.5,17.246944444444445
"Yaeji  Boiler Room New York - Boiler Room (720p, h264)",130.0,16.204809027777777
"Yaeji  Boiler Room New York - Boiler Room (720p, h264)",130.5,16.344283854166665
"Yaeji  Boiler Room New York - Boiler Room (720p, h264)",131.0,15.295316840277778
"Yaeji  Boiler Room New York - Boiler Room (720p, h264)",131.5,16.369583333333335
"Yaeji  Boiler Room New York - Boiler Room (720p, h264)",132.0,17.518953993055554
"Yaeji  Boiler Room New York - Boiler Room (720p, h264)",132.5,18.24539496527778
"Yaeji  Boiler Room New York - Boiler Room (720p, h264)",133.0,19.888680555555556
"Yaeji  Boiler Room New York - Boiler Room (720p, h264)",133.5,17.105052083333334
"Yaeji  Boiler Room New York - Boiler Room (720p, h264)",139.5,24.4023828125
"Yaeji  Boiler Room New York - Boiler Room (720p, h264)",140.0,20.277348090277776
"Yaeji  Boiler Room New York - Boiler Room (720p, h264)",140.5,19.483706597222223
"Yaeji  Boiler Room New York - Boiler Room (720p, h264)",141.0,19.287530381944446
"Yaeji  Boiler Room New York - Boiler Room (720p, h264)",141.5,19.751215277777778
"Yaeji  Boiler Room New York - Boiler Room (720p, h264)",142.0,19.1064453125
"Yaeji  Boiler Room New York - Boiler Room (720p, h264)",142.5,19.017426215277776
"Yaeji  Boiler Room New York - Boiler Room (720p, h264)",143.0,20.20952690972222
"Yaeji  Boiler Room New York - Boiler Room (720p, h264)",143.5,19.176844618055554
"Yaeji  Boiler Room New York - Boiler Room (720p, h264)",144.0,19.855542534722222
"Yaeji  Boiler Room New York - Boiler Room (720p, h264)",144.5,17.48657986111111
"Yaeji  Boiler Room New York - Boiler Room (720p, h264)",146.0,18.752825520833333
"Yaeji  Boiler Room New York - Boiler Room (720p, h264)",146.5,18.879192708333335
"Yaeji  Boiler Room New York - Boiler Room (720p, h264)",147.0,21.304027777777776
"Yaeji  Boiler Room New York - Boiler Room (720p, h264)",147.5,21.255347222222223
"Yaeji  Boiler Room New York - Boiler Room (720p, h264)",152.0,20.003658854166666
"Yaeji  Boiler Room New York - Boiler Room (720p, h264)",152.5,18.532395833333332
"Yaeji  Boiler Room New York - Boiler Room (720p, h264)",153.0,18.78379340277778
"Yaeji  Boiler Room New York - Boiler Room (720p, h264)",153.5,19.988359375
"Yaeji  Boiler Room New York - Boiler Room (720p, h264)",154.0,21.34828559027778
"Yaeji  Boiler Room New York - Boiler Room (720p, h264)",154.5,22.340807291666668
"Yaeji  Boiler Room New York - Boiler Room (720p, h264)",155.0,20.835086805555555
"Yaeji  Boiler Room New York - Boiler Room (720p, h264)",155.5,20.425907118055555
"Yaeji  Boiler Room New York - Boiler Room (720p, h264)",156.0,20.004769965277777
"Yaeji  Boiler Room New York - Boiler Room (720p, h264)",156.5,20.422664930555555
"Yaeji  Boiler Room New York - Boiler Room (720p, h264)",157.0,20.737504340277777
"Yaeji  Boiler Room New York - Boiler Room (720p, h264)",157.5,19.42814670138889
"Yaeji  Boiler Room New York - Boiler Room (720p, h264)",158.0,19.740164930555554
"Yaeji  Boiler Room New York - Boiler Room (720p, h264)",158.5,19.39651909722222
"Yaeji  Boiler Room New York - Boiler Room (720p, h264)",159.0,19.50041232638889
"Yaeji  Boiler Room New York - Boiler Room (720p, h264)",159.5,18.235520833333332
"Yaeji  Boiler Room New York - Boiler Room (720p, h264)",160.0,18.144826388888887
"Yaeji  Boiler Room New York - Boiler Room (720p, h264)",160.5,18.043940972222224
"Yaeji  Boiler Room New York - Boiler Room (720p, h264)",161.0,17.89008246527778
"Yaeji  Boiler Room New York - Boiler Room (720p, h264)",161.5,20.01795138888889
"Yaeji  Boiler Room New York - Boiler Room (720p, h264)",162.0,19.01965277777778
"Yaeji  Boiler Room New York - Boiler Room (720p, h264)",162.5,19.558923611111112
"Yaeji  Boiler Room New York - Boiler Room (720p, h264)",163.0,19.512586805555557
"Yaeji  Boiler Room New York - Boiler Room (720p, h264)",163.5,18.748706597222224
"Yaeji  Boiler Room New York - Boiler Room (720p, h264)",164.0,19.30594184027778
"Yaeji  Boiler Room New York - Boiler Room (720p, h264)",164.5,21.353402777777777
"Yaeji  Boiler Room New York - Boiler Room (720p, h264)",165.0,19.764427083333334
"Yaeji  Boiler Room New York - Boiler Room (720p, h264)",165.5,20.47126736111111
"Yaeji  Boiler Room New York - Boiler Room (720p, h264)",166.0,19.03752170138889
"Yaeji  Boiler Room New York - Boiler Room (720p, h264)",166.5,19.170972222222222
"Yaeji  Boiler Room New York - Boiler Room (720p, h264)",167.0,18.44672309027778
"Yaeji  Boiler Room New York - Boiler Room (720p, h264)",167.5,18.87037326388889
"Yaeji  Boiler Room New York - Boiler Room (720p, h264)",168.0,20.1310546875
"Yaeji  Boiler Room New York - Boiler Room (720p, h264)",168.5,20.01256076388889
"Yaeji  Boiler Room New York - Boiler Room (720p, h264)",169.0,20.510455729166665
"Yaeji  Boiler Room New York - Boiler Room (720p, h264)",169.5,19.269249131944445
"Yaeji  Boiler Room New York - Boiler Room (720p, h264)",170.0,19.219869791666667
"Yaeji  Boiler Room New York - Boiler Room (720p, h264)",170.5,19.610421006944446
"Yaeji  Boiler Room New York - Boiler Room (720p, h264)",171.0,18.485403645833333
"Yaeji  Boiler Room New York - Boiler Room (720p, h264)",178.0,20.169952256944445
"Yaeji  Boiler Room New York - Boiler Room (720p, h264)",178.5,20.2037890625
"Yaeji  Boiler Room New York - Boiler Room (720p, h264)",179.0,19.755208333333332
"Yaeji  Boiler Room New York - Boiler Room (720p, h264)",179.5,20.157235243055556
"Yaeji  Boiler Room New York - Boiler Room (720p, h264)",180.0,19.9575390625
"Yaeji  Boiler Room New York - Boiler Room (720p, h264)",180.5,19.83584201388889
"Yaeji  Boiler Room New York - Boiler Room (720p, h264)",181.0,19.372469618055554
"Yaeji  Boiler Room New York - Boiler Room (720p, h264)",181.5,18.2204296875
"Yaeji  Boiler Room New York - Boiler Room (720p, h264)",182.0,18.834053819444446
"Yaeji  Boiler Room New York - Boiler Room (720p, h264)",182.5,19.67904513888889
"Yaeji  Boiler Room New York - Boiler Room (720p, h264)",183.0,21.81548611111111
"Yaeji  Boiler Room New York - Boiler Room (720p, h264)",183.5,19.751766493055555
"Yaeji  Boiler Room New York - Boiler Room (720p, h264)",184.0,19.58246527777778
"Yaeji  Boiler Room New York - Boiler Room (720p, h264)",184.5,19.91412326388889
"Yaeji  Boiler Room New York - Boiler Room (720p, h264)",185.0,18.021749131944443
"Yaeji  Boiler Room New York - Boiler Room (720p, h264)",185.5,19.948407118055556
"Yaeji  Boiler Room New York - Boiler Room (720p, h264)",186.0,19.173138020833335
"Yaeji  Boiler Room New York - Boiler Room (720p, h264)",186.5,19.829774305555556
"Yaeji  Boiler Room New York - Boiler Room (720p, h264)",187.0,20.895868055555557
"Yaeji  Boiler Room New York - Boiler Room (720p, h264)",187.5,19.244631076388888
"Yaeji  Boiler Room New York - Boiler Room (720p, h264)",188.0,19.548506944444444
"Yaeji  Boiler Room New York - Boiler Room (720p, h264)",188.5,17.832469618055555
